flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,duration_hours
LH6315,Lufthansa,Frankfurt Airport,Frankfurt,Germany,2:05 AM,O.R. Tambo International,Johannesburg,15.3
AM9111,Aeroméxico,Benito Juárez International,Mexico City,Mexico,7:24 AM,O'Hare International,Chicago,17.42
AM6967,Aeroméxico,Benito Juárez International,Mexico City,Mexico,10:54 PM,Dallas/Fort Worth International,Dallas,16.66
SK4698,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,2:50 PM,Charles de Gaulle,Paris,11.9
AZ7021,Alitalia,Leonardo da Vinci International,Rome,Italy,3:16 AM,Charles de Gaulle,Paris,7.49
CX4393,Cathay Pacific,Hong Kong International,Hong Kong,China,10:33 AM,Changi,Singapore,8.49
CX8163,Cathay Pacific,Hong Kong International,Hong Kong,China,9:07 PM,Kuala Lumpur International,Kuala Lumpur,2.74
KL3748,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,8:23 PM,San Francisco International,San Francisco,11.83
UA4214,United Airlines,Los Angeles International,Los Angeles,USA,11:28 PM,San Francisco International,San Francisco,8.32
SA2594,South African Airways,O.R. Tambo International,Johannesburg,South Africa,6:42 PM,Charles de Gaulle,Paris,18.36
AV9215,Avianca,El Dorado International,Bogotá,Colombia,12:52 PM,O'Hare International,Chicago,1.04
NZ4282,Air New Zealand,Auckland Airport,Auckland,New Zealand,1:57 AM,Beijing Capital International,Beijing,15.07
AV3166,Avianca,El Dorado International,Bogotá,Colombia,1:00 AM,Benito Juárez International,Mexico City,19.27
IB5133,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,4:58 AM,Jomo Kenyatta International,Nairobi,6.22
NZ1208,Air New Zealand,Auckland Airport,Auckland,New Zealand,9:44 PM,Beijing Capital International,Beijing,20.09
SA9931,South African Airways,O.R. Tambo International,Johannesburg,South Africa,10:51 AM,Charles de Gaulle,Paris,4.93
AF7550,Air France,Charles de Gaulle,Paris,France,7:14 AM,Leonardo da Vinci International,Rome,2.2
AA1114,American Airlines,John F. Kennedy International,New York,USA,12:38 PM,Toronto Pearson,Toronto,4.01
SK5197,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,11:53 PM,Vienna International,Vienna,7.22
CX9392,Cathay Pacific,Hong Kong International,Hong Kong,China,1:26 AM,Changi,Singapore,23.67
IB5036,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,7:10 PM,Vancouver International,Vancouver,2.44
AA1215,American Airlines,John F. Kennedy International,New York,USA,7:47 AM,Hartsfield-Jackson Atlanta,Atlanta,2.7
EK7739,Emirates,Dubai International,Dubai,UAE,4:07 PM,Hamad International,Doha,15.68
EK2648,Emirates,Dubai International,Dubai,UAE,7:58 AM,Hamad International,Doha,16.19
SQ5181,Singapore Airlines,Changi,Singapore,Singapore,4:32 PM,Hong Kong International,Hong Kong,16.63
IB1555,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,1:05 PM,Charles de Gaulle,Paris,19.24
AF6122,Air France,Charles de Gaulle,Paris,France,9:56 PM,Brisbane Airport,Brisbane,22.29
KE2633,Korean Air,Incheon International,Seoul,South Korea,4:26 AM,Ministro Pistarini International,Buenos Aires,19.77
BA3006,British Airways,Heathrow,London,UK,11:56 AM,Charles de Gaulle,Paris,19.91
AM7878,Aeroméxico,Benito Juárez International,Mexico City,Mexico,4:38 PM,O'Hare International,Chicago,22.6
BA3826,British Airways,Heathrow,London,UK,8:09 PM,Charles de Gaulle,Paris,16.7
KL4801,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,8:22 PM,Charles de Gaulle,Paris,6.26
SA2908,South African Airways,O.R. Tambo International,Johannesburg,South Africa,12:51 PM,Charles de Gaulle,Paris,7.46
NZ6282,Air New Zealand,Auckland Airport,Auckland,New Zealand,9:27 AM,Sydney Airport,Sydney,5.6
AV9075,Avianca,El Dorado International,Bogotá,Colombia,11:01 AM,O'Hare International,Chicago,11.79
LH4956,Lufthansa,Frankfurt Airport,Frankfurt,Germany,3:36 AM,Stockholm Arlanda,Stockholm,16.2
AI5848,Air India,Indira Gandhi International,Delhi,India,4:49 PM,Chhatrapati Shivaji International,Mumbai,6.48
LH6097,Lufthansa,Frankfurt Airport,Frankfurt,Germany,5:52 AM,Leonardo da Vinci International,Rome,15.06
KE4081,Korean Air,Incheon International,Seoul,South Korea,1:28 PM,Haneda,Tokyo,4.87
LA1545,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,11:51 AM,Ministro Pistarini International,Buenos Aires,16.66
EK5000,Emirates,Dubai International,Dubai,UAE,2:51 AM,Hamad International,Doha,21.78
LA3981,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,7:40 AM,Ministro Pistarini International,Buenos Aires,14.92
UA4237,United Airlines,Los Angeles International,Los Angeles,USA,12:06 AM,San Francisco International,San Francisco,20.57
KE9869,Korean Air,Incheon International,Seoul,South Korea,2:02 PM,Sydney Airport,Sydney,5.42
AC5311,Air Canada,Toronto Pearson,Toronto,Canada,1:01 AM,John F. Kennedy International,New York,21.27
AV3075,Avianca,El Dorado International,Bogotá,Colombia,9:12 PM,Haneda,Tokyo,18.28
AF9732,Air France,Charles de Gaulle,Paris,France,8:41 AM,Hamad International,Doha,13.82
NH4854,All Nippon Airways,Haneda,Tokyo,Japan,8:21 PM,Incheon International,Seoul,1.22
AM4613,Aeroméxico,Benito Juárez International,Mexico City,Mexico,3:59 AM,O'Hare International,Chicago,21.14
WN5349,Southwest Airlines,Los Angeles International,Los Angeles,USA,11:51 AM,San Francisco International,San Francisco,1.63
LH1464,Lufthansa,Frankfurt Airport,Frankfurt,Germany,3:03 PM,Charles de Gaulle,Paris,3.61
QR5811,Qatar Airways,Hamad International,Doha,Qatar,3:54 PM,Bole International,Addis Ababa,14.57
QR3629,Qatar Airways,Hamad International,Doha,Qatar,3:06 AM,Bole International,Addis Ababa,18.89
CX7552,Cathay Pacific,Hong Kong International,Hong Kong,China,11:48 PM,Changi,Singapore,23.9
DL7381,Delta Air Lines,John F. Kennedy International,New York,USA,11:35 AM,Hartsfield-Jackson Atlanta,Atlanta,2.86
WN9954,Southwest Airlines,Los Angeles International,Los Angeles,USA,7:56 PM,O'Hare International,Chicago,3.48
CX1836,Cathay Pacific,Hong Kong International,Hong Kong,China,3:28 PM,Changi,Singapore,18.36
NZ9099,Air New Zealand,Auckland Airport,Auckland,New Zealand,9:03 PM,Jomo Kenyatta International,Nairobi,19.79
SK7231,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,1:38 AM,Charles de Gaulle,Paris,22.56
KE6519,Korean Air,Incheon International,Seoul,South Korea,1:21 AM,Charles de Gaulle,Paris,11.58
BA1466,British Airways,Heathrow,London,UK,2:49 AM,Charles de Gaulle,Paris,4.14
AA4284,American Airlines,John F. Kennedy International,New York,USA,12:14 PM,Hartsfield-Jackson Atlanta,Atlanta,17.76
LH6903,Lufthansa,Frankfurt Airport,Frankfurt,Germany,10:02 PM,Charles de Gaulle,Paris,11.89
SQ3366,Singapore Airlines,Changi,Singapore,Singapore,1:59 AM,Hong Kong International,Hong Kong,23.6
QR7020,Qatar Airways,Hamad International,Doha,Qatar,12:16 PM,São Paulo/Guarulhos International,São Paulo,6.75
CX6909,Cathay Pacific,Hong Kong International,Hong Kong,China,3:51 PM,Changi,Singapore,4.23
AV3809,Avianca,El Dorado International,Bogotá,Colombia,4:25 PM,Frankfurt Airport,Frankfurt,10.12
WN7860,Southwest Airlines,Los Angeles International,Los Angeles,USA,6:27 AM,San Francisco International,San Francisco,16.33
IB6339,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,5:45 AM,Auckland Airport,Auckland,16.91
ET7315,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,4:22 PM,Hamad International,Doha,20.84
AZ7290,Alitalia,Leonardo da Vinci International,Rome,Italy,11:11 AM,Charles de Gaulle,Paris,18.47
LA2284,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,11:23 PM,Ministro Pistarini International,Buenos Aires,21.73
ET8753,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,1:31 AM,Hamad International,Doha,21.84
KE3458,Korean Air,Incheon International,Seoul,South Korea,7:16 AM,Haneda,Tokyo,8.57
DL1765,Delta Air Lines,John F. Kennedy International,New York,USA,5:25 AM,Hartsfield-Jackson Atlanta,Atlanta,4.28
UA1392,United Airlines,Los Angeles International,Los Angeles,USA,6:47 PM,San Francisco International,San Francisco,9.57
AF1424,Air France,Charles de Gaulle,Paris,France,3:16 PM,Copenhagen Airport,Copenhagen,9.56
NH8283,All Nippon Airways,Haneda,Tokyo,Japan,2:34 AM,Incheon International,Seoul,14.78
EK5296,Emirates,Dubai International,Dubai,UAE,1:21 AM,Hamad International,Doha,11.84
QR4004,Qatar Airways,Hamad International,Doha,Qatar,6:20 AM,Bole International,Addis Ababa,3.48
LA6180,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,4:04 PM,Kuala Lumpur International,Kuala Lumpur,3.16
SQ9022,Singapore Airlines,Changi,Singapore,Singapore,11:22 PM,Beijing Capital International,Beijing,18.48
QF2703,Qantas,Sydney Airport,Sydney,Australia,10:48 PM,Melbourne Airport,Melbourne,4.03
AM7520,Aeroméxico,Benito Juárez International,Mexico City,Mexico,4:39 PM,O'Hare International,Chicago,11.04
LA5365,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,8:21 PM,Ministro Pistarini International,Buenos Aires,23.65
QR6999,Qatar Airways,Hamad International,Doha,Qatar,1:44 AM,Bole International,Addis Ababa,5.05
BA6528,British Airways,Heathrow,London,UK,11:58 PM,Vienna International,Vienna,3.43
KL4500,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,2:40 PM,Charles de Gaulle,Paris,20.49
LA3325,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,8:56 AM,Ministro Pistarini International,Buenos Aires,11.59
QR6450,Qatar Airways,Hamad International,Doha,Qatar,11:05 AM,Bole International,Addis Ababa,8.2
QF2974,Qantas,Sydney Airport,Sydney,Australia,5:46 PM,Melbourne Airport,Melbourne,16.11
SK4476,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,10:17 PM,Charles de Gaulle,Paris,11.58
KE7093,Korean Air,Incheon International,Seoul,South Korea,7:42 AM,Haneda,Tokyo,3.86
AF6719,Air France,Charles de Gaulle,Paris,France,8:59 PM,Frankfurt Airport,Frankfurt,12.51
NH2293,All Nippon Airways,Haneda,Tokyo,Japan,8:47 PM,Incheon International,Seoul,10.15
KE2894,Korean Air,Incheon International,Seoul,South Korea,5:28 AM,Miami International,Miami,15.39
AV4108,Avianca,El Dorado International,Bogotá,Colombia,12:25 PM,John F. Kennedy International,New York,3.16
WN6482,Southwest Airlines,Los Angeles International,Los Angeles,USA,10:47 AM,Denver International,Denver,13.65
NH6666,All Nippon Airways,Haneda,Tokyo,Japan,12:06 PM,Incheon International,Seoul,17.98
SQ8332,Singapore Airlines,Changi,Singapore,Singapore,5:20 PM,Beijing Capital International,Beijing,5.83
IB9186,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,11:24 AM,Cape Town International,Cape Town,15.36
KL1655,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,10:25 AM,Charles de Gaulle,Paris,13.1
NH3518,All Nippon Airways,Haneda,Tokyo,Japan,8:51 AM,Indira Gandhi International,Delhi,12.17
AA7542,American Airlines,John F. Kennedy International,New York,USA,8:01 PM,Toronto Pearson,Toronto,18.72
QR9946,Qatar Airways,Hamad International,Doha,Qatar,5:30 AM,Bole International,Addis Ababa,7.14
AV3043,Avianca,El Dorado International,Bogotá,Colombia,10:07 PM,O'Hare International,Chicago,15.98
AM2848,Aeroméxico,Benito Juárez International,Mexico City,Mexico,8:23 PM,O'Hare International,Chicago,4.2
LH8573,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:39 AM,Charles de Gaulle,Paris,5.38
DL9341,Delta Air Lines,John F. Kennedy International,New York,USA,11:39 AM,Hartsfield-Jackson Atlanta,Atlanta,3.36
QR6105,Qatar Airways,Hamad International,Doha,Qatar,1:33 PM,Bole International,Addis Ababa,19.32
NH8525,All Nippon Airways,Haneda,Tokyo,Japan,11:24 AM,Melbourne Airport,Melbourne,16.56
WN9468,Southwest Airlines,Los Angeles International,Los Angeles,USA,9:39 PM,San Francisco International,San Francisco,14.96
UA8201,United Airlines,Los Angeles International,Los Angeles,USA,1:29 PM,San Francisco International,San Francisco,7.85
SK7231,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,11:42 PM,Charles de Gaulle,Paris,15.64
NZ7385,Air New Zealand,Auckland Airport,Auckland,New Zealand,1:50 AM,Sydney Airport,Sydney,13.87
AF6875,Air France,Charles de Gaulle,Paris,France,10:32 AM,Melbourne Airport,Melbourne,2.38
QF1731,Qantas,Sydney Airport,Sydney,Australia,11:05 PM,Melbourne Airport,Melbourne,19.82
AF1560,Air France,Charles de Gaulle,Paris,France,12:24 AM,Frankfurt Airport,Frankfurt,11.9
AI1169,Air India,Indira Gandhi International,Delhi,India,2:02 PM,Changi,Singapore,7.9
SQ6869,Singapore Airlines,Changi,Singapore,Singapore,4:56 PM,Auckland Airport,Auckland,14.43
TG3327,Thai Airways,Suvarnabhumi,Bangkok,Thailand,2:58 PM,Changi,Singapore,16.36
IB4654,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,4:19 AM,Charles de Gaulle,Paris,18.22
IB1185,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,4:35 AM,Charles de Gaulle,Paris,6.49
LH6321,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:38 AM,Vienna International,Vienna,4.58
IB8675,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,3:31 PM,Charles de Gaulle,Paris,16.78
SK7971,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,6:45 PM,Hartsfield-Jackson Atlanta,Atlanta,17.92
AC5659,Air Canada,Toronto Pearson,Toronto,Canada,7:29 PM,John F. Kennedy International,New York,10.46
QF2881,Qantas,Sydney Airport,Sydney,Australia,2:38 AM,Melbourne Airport,Melbourne,17.25
EK7739,Emirates,Dubai International,Dubai,UAE,7:22 AM,Hamad International,Doha,7.46
AI9127,Air India,Indira Gandhi International,Delhi,India,7:39 PM,Chhatrapati Shivaji International,Mumbai,9.71
IB8974,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,3:09 PM,Charles de Gaulle,Paris,14.38
LH5700,Lufthansa,Frankfurt Airport,Frankfurt,Germany,9:37 PM,Charles de Gaulle,Paris,11.05
LA4827,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,12:55 PM,Frankfurt Airport,Frankfurt,16.91
LA8602,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,11:41 PM,Sydney Airport,Sydney,12.93
SQ5275,Singapore Airlines,Changi,Singapore,Singapore,12:28 AM,Melbourne Airport,Melbourne,9.96
SA9239,South African Airways,O.R. Tambo International,Johannesburg,South Africa,12:02 AM,Charles de Gaulle,Paris,4.13
EK7825,Emirates,Dubai International,Dubai,UAE,8:43 AM,Hamad International,Doha,22.91
SQ8332,Singapore Airlines,Changi,Singapore,Singapore,12:43 PM,Beijing Capital International,Beijing,18.79
DL4833,Delta Air Lines,John F. Kennedy International,New York,USA,3:21 AM,Hartsfield-Jackson Atlanta,Atlanta,5.7
QR9598,Qatar Airways,Hamad International,Doha,Qatar,5:33 AM,Charles de Gaulle,Paris,17.53
UA3264,United Airlines,Los Angeles International,Los Angeles,USA,8:28 PM,Seattle-Tacoma International,Seattle,20.08
UA2406,United Airlines,Los Angeles International,Los Angeles,USA,6:36 PM,San Francisco International,San Francisco,5.83
AZ4838,Alitalia,Leonardo da Vinci International,Rome,Italy,1:09 AM,Charles de Gaulle,Paris,16.8
UA7050,United Airlines,Los Angeles International,Los Angeles,USA,8:27 PM,San Francisco International,San Francisco,20.04
KE7499,Korean Air,Incheon International,Seoul,South Korea,8:46 PM,Haneda,Tokyo,18.22
LH8791,Lufthansa,Frankfurt Airport,Frankfurt,Germany,11:36 AM,Charles de Gaulle,Paris,17.06
SQ2302,Singapore Airlines,Changi,Singapore,Singapore,8:10 PM,Hong Kong International,Hong Kong,5.07
NH5199,All Nippon Airways,Haneda,Tokyo,Japan,10:32 AM,Incheon International,Seoul,9.24
AF3264,Air France,Charles de Gaulle,Paris,France,9:21 AM,Frankfurt Airport,Frankfurt,13.83
IB1185,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,2:08 PM,Charles de Gaulle,Paris,19.67
SQ5036,Singapore Airlines,Changi,Singapore,Singapore,7:33 AM,Beijing Capital International,Beijing,22.03
EK7596,Emirates,Dubai International,Dubai,UAE,9:50 PM,Hamad International,Doha,9.49
AM3096,Aeroméxico,Benito Juárez International,Mexico City,Mexico,8:08 PM,O'Hare International,Chicago,22.65
QR1033,Qatar Airways,Hamad International,Doha,Qatar,6:12 AM,Bole International,Addis Ababa,4.03
WN8406,Southwest Airlines,Los Angeles International,Los Angeles,USA,1:11 AM,San Francisco International,San Francisco,1.35
QF5643,Qantas,Sydney Airport,Sydney,Australia,6:46 AM,Melbourne Airport,Melbourne,3.13
BA4260,British Airways,Heathrow,London,UK,10:04 PM,Charles de Gaulle,Paris,22.94
IB7760,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,10:55 PM,Charles de Gaulle,Paris,1.19
ET3908,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,7:22 AM,Hamad International,Doha,15.98
KL4223,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,4:37 PM,Leonardo da Vinci International,Rome,7.94
QF6150,Qantas,Sydney Airport,Sydney,Australia,8:24 AM,Melbourne Airport,Melbourne,3.11
AZ2773,Alitalia,Leonardo da Vinci International,Rome,Italy,7:39 PM,Charles de Gaulle,Paris,19.5
KE7505,Korean Air,Incheon International,Seoul,South Korea,8:41 PM,Haneda,Tokyo,5.69
QF3138,Qantas,Sydney Airport,Sydney,Australia,7:15 PM,Kuala Lumpur International,Kuala Lumpur,3.82
TG4731,Thai Airways,Suvarnabhumi,Bangkok,Thailand,12:06 PM,Hong Kong International,Hong Kong,15.65
TG9476,Thai Airways,Suvarnabhumi,Bangkok,Thailand,12:18 AM,Changi,Singapore,20.96
LH6904,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:03 PM,Charles de Gaulle,Paris,8.08
UA7363,United Airlines,Los Angeles International,Los Angeles,USA,4:34 AM,San Francisco International,San Francisco,16.14
IB8384,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,5:14 AM,Charles de Gaulle,Paris,21.98
KE9821,Korean Air,Incheon International,Seoul,South Korea,8:03 PM,Haneda,Tokyo,7.75
ET6738,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,3:52 PM,Hamad International,Doha,15.17
AZ5006,Alitalia,Leonardo da Vinci International,Rome,Italy,2:02 PM,Charles de Gaulle,Paris,12.08
AM8076,Aeroméxico,Benito Juárez International,Mexico City,Mexico,6:14 AM,Denver International,Denver,2.38
KL3207,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,10:42 PM,Vienna International,Vienna,3.85
SQ3572,Singapore Airlines,Changi,Singapore,Singapore,4:47 AM,Beijing Capital International,Beijing,9.07
BA5126,British Airways,Heathrow,London,UK,10:27 PM,Charles de Gaulle,Paris,14.39
QF8775,Qantas,Sydney Airport,Sydney,Australia,10:09 AM,Haneda,Tokyo,10.97
SQ1577,Singapore Airlines,Changi,Singapore,Singapore,10:07 PM,Melbourne Airport,Melbourne,17.64
AV5545,Avianca,El Dorado International,Bogotá,Colombia,4:03 PM,O'Hare International,Chicago,10.27
SQ8385,Singapore Airlines,Changi,Singapore,Singapore,5:16 PM,Suvarnabhumi,Bangkok,5.36
ET6234,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,9:10 AM,Hamad International,Doha,16.33
IB3864,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,4:42 AM,Charles de Gaulle,Paris,15.87
AI5828,Air India,Indira Gandhi International,Delhi,India,2:49 PM,Chhatrapati Shivaji International,Mumbai,6.49
NH1897,All Nippon Airways,Haneda,Tokyo,Japan,5:17 PM,Incheon International,Seoul,16.59
TG7112,Thai Airways,Suvarnabhumi,Bangkok,Thailand,7:26 PM,Dubai International,Dubai,4.85
KL7828,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,4:48 PM,Stockholm Arlanda,Stockholm,10.61
SA3782,South African Airways,O.R. Tambo International,Johannesburg,South Africa,3:08 AM,Haneda,Tokyo,16.36
WN1051,Southwest Airlines,Los Angeles International,Los Angeles,USA,4:30 PM,San Francisco International,San Francisco,14.55
EK8571,Emirates,Dubai International,Dubai,UAE,3:00 AM,Amsterdam Airport Schiphol,Amsterdam,21.06
LA6417,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,7:34 PM,Ministro Pistarini International,Buenos Aires,22.06
QR6341,Qatar Airways,Hamad International,Doha,Qatar,12:34 AM,Bole International,Addis Ababa,3.06
BA7761,British Airways,Heathrow,London,UK,3:13 PM,Amsterdam Airport Schiphol,Amsterdam,18.21
NZ4525,Air New Zealand,Auckland Airport,Auckland,New Zealand,12:26 AM,Kuala Lumpur International,Kuala Lumpur,19.47
AA6594,American Airlines,John F. Kennedy International,New York,USA,1:32 PM,Hartsfield-Jackson Atlanta,Atlanta,19.59
TG5588,Thai Airways,Suvarnabhumi,Bangkok,Thailand,1:51 PM,Changi,Singapore,1.64
EK4517,Emirates,Dubai International,Dubai,UAE,2:30 PM,Hamad International,Doha,16.99
IB9630,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,8:07 PM,Charles de Gaulle,Paris,1.84
AC7018,Air Canada,Toronto Pearson,Toronto,Canada,4:39 PM,John F. Kennedy International,New York,22.39
KL6466,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,3:06 AM,Charles de Gaulle,Paris,21.24
NZ6947,Air New Zealand,Auckland Airport,Auckland,New Zealand,8:46 AM,Sydney Airport,Sydney,19.98
ET1547,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,12:27 AM,Hamad International,Doha,14.88
QF8880,Qantas,Sydney Airport,Sydney,Australia,7:08 PM,Melbourne Airport,Melbourne,23.41
SK9544,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,8:34 AM,Charles de Gaulle,Paris,18.22
SA4500,South African Airways,O.R. Tambo International,Johannesburg,South Africa,2:26 PM,Stockholm Arlanda,Stockholm,5.7
WN7040,Southwest Airlines,Los Angeles International,Los Angeles,USA,10:52 PM,Arturo Merino Benítez International,Santiago,15.63
IB1482,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,11:06 PM,Charles de Gaulle,Paris,5.25
WN3689,Southwest Airlines,Los Angeles International,Los Angeles,USA,8:12 AM,O'Hare International,Chicago,7.31
SA7667,South African Airways,O.R. Tambo International,Johannesburg,South Africa,12:10 AM,Indira Gandhi International,Delhi,15.21
AM8764,Aeroméxico,Benito Juárez International,Mexico City,Mexico,1:48 AM,O'Hare International,Chicago,5.07
DL4972,Delta Air Lines,John F. Kennedy International,New York,USA,6:34 AM,Hartsfield-Jackson Atlanta,Atlanta,10.25
LA5271,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,11:10 AM,Ministro Pistarini International,Buenos Aires,2.19
UA3806,United Airlines,Los Angeles International,Los Angeles,USA,12:37 PM,Seattle-Tacoma International,Seattle,16.45
NH9539,All Nippon Airways,Haneda,Tokyo,Japan,5:50 AM,Incheon International,Seoul,12.58
LH2007,Lufthansa,Frankfurt Airport,Frankfurt,Germany,8:34 AM,Charles de Gaulle,Paris,18.56
DL1182,Delta Air Lines,John F. Kennedy International,New York,USA,7:35 AM,Hartsfield-Jackson Atlanta,Atlanta,6.92
AZ6753,Alitalia,Leonardo da Vinci International,Rome,Italy,1:53 PM,Arturo Merino Benítez International,Santiago,8.17
IB4351,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,7:23 PM,Cairo International,Cairo,8.14
KL9931,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,2:17 AM,Charles de Gaulle,Paris,7.3
LH6780,Lufthansa,Frankfurt Airport,Frankfurt,Germany,9:20 PM,Charles de Gaulle,Paris,18.45
LH9806,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:43 AM,Charles de Gaulle,Paris,11.54
WN3052,Southwest Airlines,Los Angeles International,Los Angeles,USA,7:25 AM,San Francisco International,San Francisco,6.4
CX2721,Cathay Pacific,Hong Kong International,Hong Kong,China,1:29 PM,Changi,Singapore,23.99
AF7295,Air France,Charles de Gaulle,Paris,France,7:21 PM,Suvarnabhumi,Bangkok,12.45
KL3341,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,1:03 PM,Adolfo Suárez Madrid–Barajas,Madrid,10.6
ET6241,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,5:10 AM,Hamad International,Doha,3.15
BA7961,British Airways,Heathrow,London,UK,6:46 AM,Charles de Gaulle,Paris,22.85
TG2367,Thai Airways,Suvarnabhumi,Bangkok,Thailand,10:41 AM,Changi,Singapore,13.05
LH2743,Lufthansa,Frankfurt Airport,Frankfurt,Germany,10:18 AM,Charles de Gaulle,Paris,9.56
AA5549,American Airlines,John F. Kennedy International,New York,USA,5:00 AM,Hartsfield-Jackson Atlanta,Atlanta,8.37
QF2364,Qantas,Sydney Airport,Sydney,Australia,10:22 AM,Melbourne Airport,Melbourne,15.88
AC9211,Air Canada,Toronto Pearson,Toronto,Canada,1:33 AM,Miami International,Miami,22.73
AF7678,Air France,Charles de Gaulle,Paris,France,3:03 AM,Adolfo Suárez Madrid–Barajas,Madrid,13.06
SK3439,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,6:41 AM,Adolfo Suárez Madrid–Barajas,Madrid,23.53
SK7335,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,12:06 AM,Charles de Gaulle,Paris,6.8
CX4113,Cathay Pacific,Hong Kong International,Hong Kong,China,6:24 PM,Changi,Singapore,22.88
AM6524,Aeroméxico,Benito Juárez International,Mexico City,Mexico,6:20 AM,O'Hare International,Chicago,20.17
UA3441,United Airlines,Los Angeles International,Los Angeles,USA,8:18 PM,San Francisco International,San Francisco,9.75
QR2087,Qatar Airways,Hamad International,Doha,Qatar,8:29 AM,San Francisco International,San Francisco,18.48
LA9647,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,10:52 PM,Cape Town International,Cape Town,8.75
AC1668,Air Canada,Toronto Pearson,Toronto,Canada,1:51 PM,John F. Kennedy International,New York,12.64
ET9515,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,3:13 AM,Hamad International,Doha,17.96
AA7149,American Airlines,John F. Kennedy International,New York,USA,10:52 PM,Hartsfield-Jackson Atlanta,Atlanta,17.3
KE3828,Korean Air,Incheon International,Seoul,South Korea,8:31 AM,Haneda,Tokyo,8.24
NZ7946,Air New Zealand,Auckland Airport,Auckland,New Zealand,4:36 PM,Sydney Airport,Sydney,5.44
DL5304,Delta Air Lines,John F. Kennedy International,New York,USA,8:47 AM,Indira Gandhi International,Delhi,16.29
QR1033,Qatar Airways,Hamad International,Doha,Qatar,1:47 PM,Bole International,Addis Ababa,7.11
